team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",13.0029296875,3.596276843536168,16.7138671875,7,13
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",11.9033203125,4.07959795790567,16.7138671875,8,13
"['CAREY JADE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",11.3466796875,3.683214771199902,16.7138671875,9,13
"['BILES SIMONE', 'CAREY JADE', 'FRAZIER EMJAE', 'MC CALLUM', 'MCCLAIN KONNOR']",11.0546875,4.857221407624634,16.7138671875,10,13
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM']",8.751953125,5.5161252138318675,16.7138671875,11,13
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",8.6123046875,4.261080118218475,16.7138671875,12,13
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",17.03125,5.471163245356793,17.03125,1,14
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.1884765625,4.5734350180229715,17.03125,2,14
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.0234375,5.238941837732161,17.03125,3,14
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.87109375,4.558146994134898,17.03125,4,14
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'SKINNER MYKAYLA']",14.6123046875,4.966847469147116,17.03125,5,14
"['BILES SIMONE', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",13.8984375,4.6954423264907135,17.03125,6,14
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",13.7421875,4.572763929618769,17.03125,7,14
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM']",13.4130859375,3.5838364109848486,17.03125,8,14
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",13.3955078125,4.372257415383675,17.03125,9,14
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR']",11.943359375,3.85407120601173,17.03125,10,14
"['CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",8.505859375,4.224794568670577,17.03125,11,14
"['CALLUM MC GRACE', 'CAREY JADE', 'JONES SHILESE', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",6.4150390625,2.461982794171554,17.03125,12,14
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.9765625,6.53121945259042,16.9765625,1,15
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.3330078125,4.40219387677175,16.9765625,2,15
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.2412109375,4.623089832294721,16.9765625,3,15
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.0517578125,4.576986154386608,16.9765625,4,15
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",14.974609375,5.4519451063049855,16.9765625,5,15
