LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,22,5.300,7.000,0,12.300
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,21,5.500,7.933,-0.3,13.133
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,24,5.700,6.400,0,12.100
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,23,5.300,7.533,0,12.833
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,21,5.200,8.566,-0.1,13.666
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,15,6.000,8.000,0,14.000
HERDER,Philipp,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,20,5.300,7.533,0,12.833
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,10,6.200,8.600,-0.1,14.700
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,8,6.500,8.266,0,14.766
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,27,5.600,8.266,0,13.866
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,4,5.600,9.266,0,14.866
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,10,6.200,9.100,0,15.300
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,1,6.500,8.533,0,15.033
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,2,6.200,8.866,0,15.066
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,14,6.200,8.166,0,14.366
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,15,6.000,8.333,0,14.333
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,11,5.600,9.100,0,14.700
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,19,6.100,8.866,0,14.966
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,5,6.000,8.466,0,14.466
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,7,6.200,8.666,0,14.866
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,16,6.400,7.900,0,14.300
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,21,6.000,8.200,0,14.200
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,10,5.600,9.200,-0.1,14.700
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,6,6.400,9.000,0,15.400
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,10,6.000,8.266,0,14.266
